neighbourhood_group,neighbourhood,n_listings,avg_price
Manhattan,Tribeca,156,295.65
Manhattan,NoHo,77,276.25
Manhattan,Flatiron District,74,258.16
Manhattan,Midtown,1503,255.75
Manhattan,SoHo,337,229.83
Manhattan,West Village,738,224.9
Manhattan,Financial District,738,215.75
Manhattan,Theater District,279,214.23
Manhattan,Chelsea,1084,212.74
Manhattan,Murray Hill,478,210.23
Manhattan,Greenwich Village,379,206.09
Manhattan,Battery Park City,67,201.48
Brooklyn,DUMBO,36,196.31
Manhattan,Nolita,249,193.71
Manhattan,Hell's Kitchen,1936,191.53
